id,regel,modul,severity,location,titel,problem,vorschlag,verifikation,verifikationsart
22,routing,CRM – Anfragen,kritisch,"routes/web.php:4002,4003,4004,4005,4006,4009,4107","GET-Routen fuer destruktive Operationen (Delete, Junk, Restore, Verify)","Sieben Routen verwenden HTTP GET fuer zustandsaendernde/destruktive Operationen: GET /inquiry_delete/{id} (loescht), GET /inquiry_publish/{id} (veroeffentlicht), GET /inquiry_verify/{id} (verifiziert), GET|POST /inquiry_junk/{id} (markiert als Junk), GET|POST /inquiry_unjunk/{id} (entfernt Junk), GET /inquiry_restore/{id} (stellt wieder her), GET /inquiry_type_destroy/{id} (loescht Typ). GET-Requests werden von Browsern vorgeladen (Prefetch, Google Bot), koennen in Logs landen und sind nicht CSRF-geschuetzt. Ein einfacher Link in einer E-Mail oder einer externen Seite koennte Datensaetze loeschen.",Alle Zustandsaenderungen auf POST/PUT/PATCH/DELETE umstellen. Vorhandene REST-Routen (z.B. DELETE inquiries/{inquiry}/discard) als Vorbild nehmen und die alten Routen entfernen.,"Die sieben GET-Routen fuer destruktive Operationen existieren exakt an den gemeldeten Stellen: /routes/web.php Zeilen 4002 (inquiry_delete), 4003 (inquiry_publish), 4004 (inquiry_verify), 4005–4006 (inquiry_junk/unjunk als GET|POST), 4009 (inquiry_restore) und 4107 (inquiry_type_destroy). Das Projekt verwendet an anderer Stelle korrekte HTTP-Verben (z.B. Route::delete auf Zeile 4018, Route::post fuer bulk-delete/-verify auf 4021–4024), sodass es sich nicht um eine bewusste Projekkonvention handelt, sondern um inkonsistente, sicherheitskritische Fehler.",statisch
23,routing,CRM – Partner,kritisch,routes/web.php:4609-4615,AllContactController ohne Auth-Middleware: alle Kontakte und Export öffentlich,"Die Routen /all-contacts, /all-contacts/export, /global-search und /global-restore/* liegen in einem Route::middleware('web')-Block ohne 'auth'. Der AllContactController hat keinen Middleware-Aufruf im Konstruktor. Damit kann jeder anonyme Nutzer die konsolidierte Kontaktliste (Kunden, Mitarbeiter, Hersteller, Lieferanten), den CSV-Export und die Restore-Endpunkte aufrufen.","Middleware-Gruppe auf ['web', 'auth'] ändern oder im AllContactController-Konstruktor $this->middleware('auth') ergänzen.","In /Users/yamanuri/Documents/ticket/routes/web.php, Zeilen 4608-4617, existiert exakt der beschriebene `Route::middleware('web')->group(...)` Block ohne 'auth', der alle vier genannten Routen (`/all-contacts`, `/all-contacts/export`, `/global-search`, `/global-restore/*`) enthält. Der AllContactController unter app/Http/Controllers/Contacts/AllContactController.php besitzt weder einen Konstruktor noch einen Middleware-Aufruf. Die Routen sind damit für anonyme Nutzer erreichbar – der Schweregrad 'kritisch' ist angemessen, da sensible konsolidierte Kontaktdaten und Restore-Operationen ungeschützt sind.",dynamisch — bestätigt (anonym erreichbar)
24,routing,Vertrieb – Angebote,kritisch,app/Http/Controllers/Customer/Offer/OfferCommentController.php:1-57,OfferCommentController ohne Auth-Middleware – alle Endpoints unauthentifiziert aufrufbar,"OfferCommentController (index, store, update, destroy) besitzt weder einen __construct-Aufruf mit $this->middleware('auth') noch ist er in einer Route-Gruppe mit auth-Middleware registriert (routes/web.php Zeile 108 zeigt nur den use-Import, keine Route-Registrierung im auth-Block). Damit können Kommentare ohne Login gelesen, erstellt, editiert und gelöscht werden. Zusätzlich fehlt in store() jede Validierung der Eingaben (customer_id, comment etc.).",Sofort __construct mit $this->middleware('auth') ergänzen. Alle Routen in einen Route::middleware(['auth'])-Block verschieben. Request-Validierung (FormRequest oder Validator::make) für store/update ergänzen.,"Der Controller unter /Users/yamanuri/Documents/ticket/app/Http/Controllers/Customer/Offer/OfferCommentController.php (Zeilen 1-57) besitzt weder einen __construct mit auth-Middleware noch eine Route-Registrierung in irgendeinem Route-File (nur ein use-Import in web.php Zeile 108, kein Route::resource/get/post). Die store()-Methode liest Request-Felder ungefiltert direkt in OfferComment::create() und enthält keinerlei Validierung. Der Schweregrad ""kritisch"" ist angemessen.",dynamisch — FALSE POSITIVE
25,routing,Personal / HR,kritisch,"routes/web.php:1539,1687,1698,2829,2836,1610","Destruktive Operationen über GET-Routen (CSRF-Bypass, sofortige Löschung per Link)","Mindestens 6 HR-Löschaktionen sind als GET-Routen registriert: emp_destroy/{id} (Mitarbeiterlöschen), holiday_destroy/{id}, leave_day_destroy/{id}, country_destroy/{id}, tax_destroy/{id}, contract_type_destroy/{id}. GET-Requests werden von Browsern verfolgt (Prefetch, Logs, History, eingebettete Links), unterliegen keinem CSRF-Schutz und erlauben es jedem, der eine URL mit gültiger ID kennt, den Datensatz ohne Bestätigungs-Token zu löschen. Ein normaler Nutzer kann über einen manipulierten Link alle Mitarbeiterdatensätze löschen.","Routen auf DELETE umstellen (Route::delete), Formulare mit @csrf und @method('DELETE') absichern. Alternativ AJAX-Call mit X-CSRF-Token. Alle 70+ im Projekt gefundenen GET-Destroy-Routen systematisch migrieren.","Alle sechs genannten GET-Destroy-Routen existieren exakt an den zitierten Zeilennummern in /Users/yamanuri/Documents/ticket/routes/web.php (z.B. Zeile 1539: `Route::get('/emp_destroy/{id}', [EmployeeController::class, 'destroy'])`, Zeile 1687: `holiday_destroy`, Zeile 1698: `leave_day_destroy`, Zeile 2829: `country_destroy`, Zeile 2836: `tax_destroy`, Zeile 1610: `contract_type_destroy`). Die betroffenen Route-Gruppen verwenden ausschliesslich `['middleware' => 'web']` ohne `auth`-Middleware — GET-Requests unterliegen in Laravel keiner CSRF-Prüfung, und die Löschung kann durch einfaches Aufrufen der URL ausgelöst werden. Der Schweregrad kritisch ist angemessen, da ein authentifizierter (oder je nach Auth-Konfiguration sogar nicht authentifizierter) Angreifer Datensätze durch einen einfachen Link-Aufruf dauerhaft löschen kann.",statisch
26,routing,Personal / HR,kritisch,routes/web.php:1810-1815,Leave-Notiz-Endpunkte ohne Auth-Middleware öffentlich erreichbar,"Der Prefix-Block 'Route::prefix(""leaves"")' hat keinerlei Middleware (weder 'auth' noch 'web'). Damit sind GET /leaves/{id}/notes, POST /leaves/{id}/notes/store, PUT /leaves/{id}/notes/update/{index} und DELETE /leaves/{id}/notes/delete/{index} ohne Authentifizierung abrufbar. Jeder Internetzugang kann Urlaubsnotizen lesen, anlegen, ändern und löschen.","Route::prefix('leaves')->middleware(['web','auth'])->group(...) — identisch wie der Block ab Zeile 1784 für die übrigen Leave-Routen.","Die Stelle in /Users/yamanuri/Documents/ticket/routes/web.php Zeile 1810-1815 existiert exakt wie beschrieben: `Route::prefix('leaves')->group(function () { ... })` hat weder `auth` noch `web` Middleware. Unmittelbar davor (Zeile 1784) und danach (Zeile 1802 und 1820) schützen alle anderen Leave- und Sick-Routen konsequent mit `['web','auth']` bzw. `['auth']`, was zeigt, dass die fehlende Middleware kein bewusstes Projekt-Muster ist, sondern ein Versäumnis. Alle vier Endpunkte (Lesen, Anlegen, Ändern, Löschen von Leave-Notizen) sind damit ohne Anmeldung öffentlich erreichbar.",dynamisch — bestätigt (anonym erreichbar)
27,routing,Artikel,kritisch,"routes/web.php:2278,2310,2475,2844",DELETE-Aktionen über GET-Routen CSRF-ungeschützt,"Die Routen /product_destroy/{id}, /product_description_destroy/{id}, /measure_destroy/{id} und /discount_group_destroy/{id} sind alle als GET definiert. Damit können Datensätze durch einfaches Einbetten einer URL (z. B. <img src=""/product_destroy/5"">) ohne CSRF-Schutz irreversibel gelöscht werden.",Auf DELETE-Verb umstellen (Route::delete) und in den Blade-Views Löschformulare mit @method('DELETE') und @csrf verwenden.,"Alle vier Routen existieren exakt an den genannten Zeilen in /Users/yamanuri/Documents/ticket/routes/web.php und sind tatsaechlich als Route::get fuer destroy-Aktionen definiert. Es handelt sich um keine bewusste Konvention: Neuere Routen im selben File (Z. 2317, 2320, 2854) verwenden bereits korrekt Route::delete mit @csrf-Schutz, was belegt, dass die GET-Destroy-Routen veraltete Luecken sind und CSRF-freie Loeschung per einfachem GET-Request erlauben.",statisch
28,routing,Artikel,kritisch,routes/web.php:2275,is_Admin-Middleware wird im Produkt-Route-Group nicht angewandt,"Route::group(['middleware' => 'web', 'is_Admin'], ...) setzt den Schlüssel 'middleware' auf den String 'web'; der Eintrag 'is_Admin' liegt an Array-Index 0 und wird von Laravel als unbekannter Gruppenattribut-Schlüssel ignoriert. Dadurch gilt für alle Produkt-CRUD-Routen (Anlage, Änderung, Löschung) ausschließlich 'web' – kein Admin-Rollenschutz. Jeder authentifizierte Nutzer darf Produkte anlegen, bearbeiten und löschen.","Route::middleware(['web', 'is_Admin'])->group(...) verwenden, oder innerhalb der Gruppe ->middleware('is_Admin') je Route setzen.","Zeile 2275 in /Users/yamanuri/Documents/ticket/routes/web.php enthält exakt `Route::group(['middleware' => 'web', 'is_Admin'], ...)`: In PHP ist `'is_Admin'` dabei der Wert am numerischen Index 0 des äusseren Arrays, nicht Teil der Middleware-Liste. Laravel ignoriert diesen unbekannten Schlüssel vollständig, sodass nur `web`, aber kein `is_Admin`-Schutz greift. Alle übrigen Route-Gruppen im Projekt verwenden korrekt `'middleware' => ['web', 'auth']` oder `Route::middleware([...])`, was belegt, dass es sich nicht um eine bewusste Konvention handelt.",dynamisch — FALSE POSITIVE
29,routing,Lager,kritisch,"routes/web.php:2696, 2716",PurchaseRequest- und RequestOut-Routen ohne Auth-Middleware,"Beide Route-Gruppen verwenden ausschließlich middleware('web'). Die 'web'-Gruppe enthält laut Kernel.php (Zeile 35–43) kein 'auth'. Weder PurchaseRequestController noch InventoryRequestOutController setzen im Konstruktor middleware('auth'). Unauthentifizierte Nutzer können so alle Purchase-Request- und Request-Out-Endpunkte (index, list, analytics, store, destroy) aufrufen. auth()->user() wird in diesen Controllern nur mit ?? 'System'-Fallback verwendet, was den Fehler stumm schluckt.","middleware('web') in beiden Route::group-Aufrufen durch middleware(['web','auth']) ersetzen.","Die Route-Gruppen an Zeile 2696 und 2716 in routes/web.php existieren genau wie beschrieben und verwenden ausschliesslich 'web'-Middleware, die laut Kernel.php (Zeilen 35-43) kein 'auth' enthält. Weder PurchaseRequestController noch InventoryRequestOutController setzt im Konstruktor auth-Middleware, und beide nutzen auth()->user()->name ?? 'System' als stummen Fallback. Die unmittelbar benachbarten Route-Gruppen (Zeilen 2667, 2689) setzen explizit middleware(['auth']), was belegt, dass es sich um ein Versehen handelt und keine bewusste Projektion.",dynamisch — bestätigt (anonym erreichbar)
30,routing,Lager,kritisch,routes/web.php:5096,GoodsReceipt-Routen ohne Auth-Middleware,"Route::prefix('admin')->name('admin.') bei Zeile 5096 enthält kein ->middleware('auth'). GoodsReceiptController hat keinen __construct mit middleware-Aufruf. index() und data() führen gar keine Auth-Prüfung durch. relationOptions(), show() ebenfalls. Nur store/update/destroy nutzen authEmployeeId(), die bei fehlendem Login null zurückgibt ohne Redirect.","Die Route-Gruppe auf ->middleware(['auth']) oder ->middleware(['web','auth']) ändern; alternativ im Controller-Konstruktor middleware('auth') hinzufügen.","Die Route-Gruppe in /routes/web.php:5096 lautet `Route::prefix('admin')->name('admin.')->group(function () { ... })` ohne jegliches `->middleware()`; der direkt folgende `Route::prefix('planner')` verwendet dagegen explizit `->middleware(['web', 'auth'])` (Zeile 5128), was zeigt, dass Auth-Middleware hier bewusst weggelassen wurde. Im Controller (`GoodsReceiptController`) gibt es keinen `__construct` mit Middleware-Aufruf, und `authEmployeeId()` gibt bei nicht eingeloggtem Nutzer lediglich `null` zurück, ohne einen Redirect auszulösen — `index()`, `data()`, `show()` und `relationOptions()` rufen diese Methode gar nicht auf, sodass sie vollständig ohne Auth-Check ausgeführt werden.",dynamisch — bestätigt (anonym erreichbar)
31,routing,Finanzen,kritisch,routes/web.php:860,BEG-Förderungen ohne Auth-Middleware (unauthentifizierter Zugriff),"Route::resource('beg-fundings', ...) liegt im 'web'-Only-Middleware-Gruppe (Zeile 769). Kein 'auth'-Middleware. BegFundingsController hat auch keinen __construct()-Middleware-Aufruf. Index, Store, Update und Destroy der BEG-Förderdaten sind somit ohne Login aufrufbar.",Die Route in eine auth-gesicherte Gruppe verschieben oder im BegFundingsController $this->middleware('auth') im Konstruktor ergänzen.,"Die Route `Route::resource('beg-fundings', BegFundingsController::class)` in `/routes/web.php` Zeile 860 liegt tatsächlich nur in der `'web'`-Only-Middleware-Gruppe (Zeile 769), ohne `'auth'`-Middleware. Der `BegFundingsController` besitzt keinen Konstruktor und damit kein `$this->middleware('auth')`. Der Rest der Datei zeigt durchgängig, dass schutzbedürftige Routen explizit `['web', 'auth']` oder `['auth']` kombinieren (z. B. Zeilen 513, 557, 581) — das Fehlen von `auth` hier ist kein bewusstes Muster, sondern ein echter Fehler. Schweregrad kritisch ist angemessen, da BEG-Förderdaten ohne Login lesbar, änderbar und löschbar sind.",dynamisch — bestätigt (anonym erreichbar)
32,routing,Querschnitt,kritisch,routes/web.php:1444,Middleware-Typo: 'middlware' statt 'middleware' — Auth-Schutz komplett inaktiv,"Route::group(['middlware'=>'auth'], function(){...}) verwendet den falschen Schlüssel 'middlware'. Laravel ignoriert unbekannte Keys stillschweigend, sodass alle 5 darin enthaltenen Routen (customer_phase_manage, customer/phase/manage, customer_phase_get, customer_phase_get_new, customer_phase_management_store, customer_phase_management/color, customer_phase_management_delete) ohne Authentifizierung erreichbar sind.","Schlüssel in 'middleware' korrigieren: Route::group(['middleware'=>'auth'], function(){...}). Anschließend sicherstellen, dass betroffene Routen wirklich auth-geschützt sind.","Zeile 1444 in /Users/yamanuri/Documents/ticket/routes/web.php enthält exakt `Route::group(['middlware'=>'auth'], function(){` — der Schlüssel ist tatsächlich als `middlware` geschrieben. Da Laravel unbekannte Array-Keys im Group-Optionen-Array stillschweigend ignoriert, sind alle 8 enthaltenen Routen (customer_phase_manage, customer/phase/manage usw.) ohne Authentifizierung öffentlich erreichbar. Die direkt folgende Gruppe ab Zeile 1454 verwendet korrekt `'middleware'`, was den Tippfehler als unbeabsichtigten Fehler und keine Konvention ausweist. Der Schweregrad „kritisch"" ist angemessen.",dynamisch — FALSE POSITIVE
33,routing,Querschnitt,kritisch,routes/web.php:3961,GET /route-cache führt Artisan-Befehle aus — kein Auth-Schutz,"Route::get('/route-cache', function(){ Artisan::call('route:cache'); Artisan::call('view:clear'); ... }) liegt außerhalb jeder Middleware-Gruppe. Jeder anonyme HTTP-Request kann damit den Route- und View-Cache der Produktion manipulieren (Cache Poisoning / DoS).",Route entfernen oder in eine auth- und admin-only-Middleware-Gruppe verschieben. Für Cache-Clearing besser einen Artisan-Befehl direkt auf dem Server ausführen.,"Die Route existiert exakt an Zeile 3961 in /Users/yamanuri/Documents/ticket/routes/web.php und liegt eindeutig außerhalb jeder Middleware-Gruppe (die vorherige Gruppe schließt bei Zeile 3959). Jeder anonyme HTTP-Request kann damit `route:cache`, `view:clear`, `view:cache`, `config:cache` und `optimize:clear` auf dem Server auslösen — ein reales Cache-Poisoning- und DoS-Risiko. Der Schweregrad ""kritisch"" ist angemessen.","statisch — Zugriff offen, Effekt nicht getriggert"
34,routing,Querschnitt,kritisch,routes/web.php:404,GET /fix-notes schreibt Datenbankdaten ohne Authentifizierung,"Route::get('/fix-notes', function(){...}) führt DB-Schreiboperationen auf CustomerNote-Datensätzen durch (note->save()) und ist nicht durch Auth-Middleware geschützt. Jeder anonyme Benutzer kann diesen Migrations-Helper beliebig oft aufrufen.",Route nach der Datenmigration komplett entfernen. Solange sie benötigt wird: in eine auth+admin-Middleware-Gruppe verschieben.,"Die Route `GET /fix-notes` existiert exakt an der gemeldeten Stelle (routes/web.php:404), steht ausserhalb jeder Middleware-Gruppe und ruft `$note->save()` auf CustomerNote-Datensätzen auf – ohne jede Authentifizierung. Der eigene Kommentar im Code (""You can now delete this route."") belegt, dass es sich um einen vergessenen Migrations-Helper handelt, der niemals dauerhaft hätte verbleiben sollen. Der Schweregrad ""kritisch"" ist angemessen, da jeder anonyme Nutzer die DB-Mutation beliebig oft auslösen kann.","statisch — Zugriff offen, Effekt nicht getriggert"
35,workflow,Planner,kritisch,app/Http/Controllers/Planner/PlannerPlanController.php:861-1111,O(N) updateOrCreate + O(N) Kind-Query pro Entity in syncAndLoad,"syncAndLoad() ruft syncAppointments(), syncTickets(), syncPersonalTasks(), syncPhaseActivities() und syncMasterSets() in einer einzigen Transaktion auf. Jede Methode iteriert über ihre Entitätenliste und führt pro Zeile ein PlannerItem::updateOrCreate() aus. Zusätzlich wird in syncAppointments (Zeile 893-897) pro Termin eine extra DB::table('main_appointment_employees')->where('appointment_id', $id)->pluck() ausgeführt, in syncPersonalTasks (Zeile 1086-1102) pro Aufgabe zwei weitere Abfragen (personal_task_keys, employees_personal_tasks). Damit entstehen pro Planner-Öffnung 3×N+2×N DB-Operationen für N Projektentitäten.","Alle IDs zuerst sammeln, Pivot-Daten mit whereIn in einer Abfrage laden (keyBy('id')), dann mit upsert()/insertOrIgnore() als Batch schreiben. syncPlannerItemEmployees() (Zeile 286-294) sollte statt N Einzel-INSERTs ein einziges DB::table()->insert($rows) mit vorbereiteter Array-Liste verwenden.","Die Stelle existiert exakt wie beschrieben: In `syncAppointments()` (Zeile 893-897) wird pro Termin ein separates `DB::table('main_appointment_employees')->where('appointment_id', $appointment->id)->pluck()` ausgeführt, in `syncPersonalTasks()` (Zeile 1087-1101) pro Aufgabe zwei weitere Einzel-Abfragen (personal_task_keys, employees_personal_tasks), und jede Methode führt pro Entität ein `PlannerItem::updateOrCreate()` aus. `syncPlannerItemEmployees()` (Zeile 286-294) schreibt tatsächlich N einzelne `DB::table()->insert()`-Aufrufe in einer foreach-Schleife statt eines Batch-Inserts. Der Schweregrad ""kritisch"" ist angemessen, da diese Muster bei jedem Planner-Öffnen aufgerufen werden und bei N Entitäten zu einer O(N)-Datenbankabfragelast führen.",statisch
36,architektur,Dashboard & Berichte,hoch,app/Http/Controllers/EmployeeDashboardController.php:1,Monster-Controller: EmployeeDashboardController hat 2333 Zeilen,"Ein einzelner Controller vereint Dashboard-Rendering, Wetter-API-Abfragen, Urlaubs-/Kranktags-Berechnung, Task/Appointment/Lead/Inquiry/Leave/TicketTask-Aggregation, markAsDone-Logik für 7 Entitätstypen mit vollständiger DB-Schreiblogik sowie HR-Widgets. Keine Service-Schicht, keine FormRequest-Validierung, keine Repository. Dies führt zu enger Kopplung, schwieriger Testbarkeit und fehlendem Separation of Concerns.","Aufteilen in DashboardQueryService (Datenaggregation), MarkAsDoneService (Schreiboperationen je Typ), DashboardController (nur View-Return). FormRequest-Klassen für getDueToday und markAsDone einführen.","Die Datei app/Http/Controllers/EmployeeDashboardController.php hat exakt 2333 Zeilen und enthält 15+ public methods (index, markAsDone, getDueToday, hrWidget, getWeatherData u.a.) sowie 113 direkte DB-Schreiboperationen. Die markAsDone-Methode (ab Zeile 1314) verarbeitet per switch/case 7 Entitätstypen (personal_task, ticket_task, problem, appointment, lead, inquiry, leave) mit vollstaendiger DB-Logik inline. Externe HTTP-Aufrufe an tomorrow.io/ipinfo.io sind direkt im Controller codiert, obwohl ein WeatherClient.php-Service bereits im app/Services-Verzeichnis existiert aber nicht genutzt wird. Weder Service-Schicht noch FormRequests noch Repository-Klassen werden fuer diesen Controller eingesetzt. Der Schweregrad ""hoch"" ist angemessen.",statisch
37,architektur,Dashboard & Berichte,hoch,app/Http/Controllers/Report/OverdueCenterController.php:1,OverdueCenterController hat 4612 Zeilen – extremes Fat-Controller-Problem,"Der Controller enthält sämtliche Overdue-Abfragelogik (5 Entitätstypen), Report-Store-Logik (5 Entitätstypen), History-Logik, Notification-Logik, Reminder-Logik, Schema-Introspektionslogik und N Hilfsformatierungsmethoden. Für die Mitarbeiter-Zusammenfassung (recentReportsEmployeeSummary) werden 5 separate Sub-Controller-Methoden aufgerufen. Auch eine Kopie existiert: Old/OverdueCenterController copy.php (104 kB).","Logik in OverdueQueryService, OverdueReportService und OverdueNotificationService auslagern. Old/-Kopie löschen. Schema-Introspektionshelfer in eigenem Trait kapseln.","Die Datei existiert mit exakt 4612 Zeilen und 84 Methoden, die alle genannten Verantwortlichkeiten vereinen: Overdue-Abfragen für 5 Entitätstypen (Zeilen 1106–1578), Report-Store-Logik (1971–2208), History-Logik (1579–1757), Notification-Logik (1036–1070), Reminder-Logik (3744–3931), Schema-Introspektionshelfer (3693–3735) und zahlreiche Formatierungsmethoden. Die Old/-Kopie ist mit 104.335 Bytes (2289 Zeilen) ebenfalls bestätigt vorhanden. Eine bewusste Projektstrategie oder Konvention, die diese Masse rechtfertigen würde, ist nicht erkennbar; Severity „hoch"" ist angemessen.",statisch
38,architektur,CRM – Kommunikation,hoch,app/Http/Controllers/Chat/ChatController.php:123-143 / 185-232,N+1-Queries bei Chat-Sidebar: 2 Queries pro User und 2 Queries pro Gruppe,"getEmployeesAndGroups() lädt alle Nutzer und alle Gruppen in je einer Query, iteriert dann aber in einer foreach-Schleife über jeden User (n) und jede Gruppe (m) und führt pro Iteration 2 separate Chat::query()-Aufrufe aus (lastMsg + unreadCount). Bei 20 Mitarbeitern und 30 Gruppen = 100 Datenbankabfragen pro API-Aufruf, der bei jedem Öffnen des Chat-Panels ausgelöst wird.","lastMsg und unreadCount pro User/Gruppe als Subquery oder mittels DB::select mit GROUP BY vorab aggregieren und den Ergebnissen zuordnen, statt N einzelne Queries auszuführen.","Die Stelle existiert exakt wie beschrieben: In `getEmployeesAndGroups()` werden in `$users->map()` (Zeilen 123-143) pro User zwei separate `Chat::query()`-Aufrufe ausgeführt (lastMsg + unreadCount), und in `$groupsRaw->map()` (Zeilen 185-232) ebenso zwei pro Gruppe — klassisches N+1-Muster ohne jede Aggregation. Die Methode `unreadCounts()` ab Zeile 573 belegt, dass dem Projekt der optimierte `groupBy`/`pluck`-Ansatz bekannt ist, er wurde in `getEmployeesAndGroups()` jedoch nicht angewendet. Schweregrad ""hoch"" ist angemessen, da dieser Endpunkt bei jedem Öffnen des Chat-Panels aufgerufen wird.",statisch
39,architektur,CRM – Anfragen,hoch,"app/Http/Controllers/Inquiry/InquiryController.php:1075-1199,1364-1491",Fat Controller: store() und update() enthalten vollstaendige Terminplanungslogik (~300 Zeilen),"Die Methoden store() und update() enthalten jeweils ~120 Zeilen fuer die synchrone Erstellung von MainAppointment- und MainAppointmentEmployee-Eintraegen direkt im HTTP-Request-Zyklus. Dieselbe Logik ist in beiden Methoden nahezu identisch dupliziert (Unterschied: einmal Model->save(), einmal DB::insertGetId()). Ausserdem fehlt eine DB-Transaktion: wenn das Erstellen des Appointments nach dem Speichern der Inquiry fehlschlaegt, bleibt der Datensatz inkonsistent.","Appointment-Erstellung in einen InquiryService oder einen Job (Queue) auslagern. Private Methode createAppointmentsForInquiry() extrahieren, die von store() und update() aufgerufen wird. Gesamten Ablauf (Inquiry + ProductList + Appointments) in DB::transaction() einbetten.","Die gemeldeten Stellen existieren exakt wie beschrieben: store() (Zeilen 1075–1199) und update() (Zeilen 1364–1491) enthalten jeweils ~120 Zeilen nahezu identische Terminplanungslogik direkt im Controller, wobei store() `$appointment->save()` und update() `DB::table('main_appointments')->insertGetId()` verwendet. Eine DB::transaction()-Klammer fehlt in beiden Methoden vollstaendig (grep bestaetigt Transaktionen nur in anderen Methoden ab Zeile 1958+), sodass ein Fehler beim Appointment-Insert den bereits gespeicherten Inquiry-Datensatz inkonsistent hinterlaesst. Der Schweregrad ""hoch"" ist angemessen.",statisch
40,architektur,CRM – Leads & Kunden,hoch,app/Http/Controllers/Customer/NewLeadsController.php:1,"Extremer Fat-Controller: 14.049 Zeilen, 80+ public-Methoden in einer Klasse","NewLeadsController enthält 14.049 Zeilen und über 80 öffentliche Methoden. Er übernimmt Lead-CRUD, Objekt-Verwaltung, PV-Daten, Mitarbeiter-Zuweisung, Finanzierungsdaten, Referenzen, Duplikat-Erkennung, Audit-Logging, Notification-Dispatch, Analytics, Export und mehr. Keinerlei Service-Klassen, FormRequests oder Repositories vorhanden. Die Geschäftslogik (Qualifizierungs-Status-Berechnung, Kundenummer-Generierung, Mitarbeiter-Verfügbarkeitsprüfung) ist vollständig im Controller inliniert.","Aufteilen in dedizierte Service-Klassen (LeadQualificationService, LeadCreationService, LeadNotificationService), FormRequest-Klassen für store/update/details_update, Repository für NewLeads-Queries. Kleinere thematische Controller ableiten.","Die Datei app/Http/Controllers/Customer/NewLeadsController.php existiert mit exakt 14.049 Zeilen und enthalt 121 public Methoden (mehr als die gemeldeten 80+), die Bereiche von CRUD uber Duplikat-Erkennung, Nachbarschaftsanalyse, Workflow-Steuerung, Stage-Management bis hin zu Finanzierungs- und Referenzdaten abdecken. Weder ein app/Http/Requests-Verzeichnis noch Lead-bezogene Service-Klassen existieren; die vorhandenen Services (TimeSummaryService, NormTempService etc.) sind vollig unrelated. Der Schweregrad ""hoch"" ist angemessen, da der Fat-Controller die Testbarkeit, Wartbarkeit und Erweiterbarkeit des gesamten CRM-Moduls massiv beeintrachtigt.",statisch
41,architektur,Vertrieb – Angebote,hoch,app/Http/Controllers/Customer/Offer/OfferController.php:1 und app/Http/Controllers/Customer/Offer/OfferFolderController.php:1,Fat Controllers: OfferController (2929 Z.) und OfferFolderController (3810 Z.) mit gesamter Geschäftslogik,"OfferController (2929 Zeilen) übernimmt Angebotserstellung, Ordnerverwaltung, Lead-Synchronisation, Angebotsnummern-Generierung, Aktivitäts-Broadcasting und Index-Aggregation in einer einzigen Klasse. OfferFolderController (3810 Zeilen) enthält Workflow-Stage-Auflösung, Team-Zugriffslogik, Sektion-Hydration, Attachment-Verwaltung, Kanban-Logik und Lieferanten-Synchronisation. Kein Service Layer, keine FormRequests, keine Repositories vorhanden.","Extrahieren: OfferNumberService (Nummernvergabe), OfferFolderWorkflowService (Stage-Logik), OfferTeamAccessService (Zugriffslogik), OfferSyncService (Lead-Sync). FormRequests für store/update anlegen. Controller reduzieren auf Routing und HTTP-Response.","Beide Dateien existieren exakt mit den gemeldeten Zeilenzahlen (OfferController.php: 2929 Z., OfferFolderController.php: 3810 Z.) und enthalten nachweislich die genannte Geschäftslogik als protected-Methoden direkt im Controller: safeGenerateOfferNo (Nummernvergabe, 11 Aufrufstellen), syncOfferLeadProducts (Lead-Sync), resolveAllowedWorkflowStatuses/findWorkflowMainStage (Stage-Logik), resolveOfferTeamAccessMode/canAccessFolderByTeam (Zugriffslogik). Im gesamten app/Services/-Verzeichnis existieren keine Offer-bezogenen Services, und FormRequests für Offer-store/update fehlen vollständig – der Fund ist real und der Schweregrad hoch gerechtfertigt.",statisch
