id,regel,modul,severity,status,location,titel,problem,vorschlag,confidence
71,kausalitaet,CRM – Partner,hoch,bestätigt,resources/views/admin/employee/external/external.blade.php:63,Neu-Anlegen-Modal in external.blade sendet an external.update statt external.store,"Das 'Neue hinzufügen'-Modal-Formular hat als action route('external.update'), statt route('external.store'). external.update ruft ExternalPersonal::find($request->id)->update($request->all()) auf. Da das Neuanlegen-Formular keine id enthält, gibt find(null) null zurück, was einen Fatal Error (null->update()) verursacht. Das Anlegen neuer Zeitarbeitsfirmen ist dadurch komplett defekt.",Action des Neu-Anlegen-Formulars auf route('external.store') korrigieren.,hoch
72,kausalitaet,CRM – Partner,hoch,bestätigt,app/Http/Controllers/Product/Brand/ExternalDepartmentsController.php:27-34,ExternalDepartmentsController: orWhere ohne Gruppierung umgeht ID-Filter (Cross-Company-Datenleck),"Die Suchabfrage in index() beginnt mit ->where('external_personals.id', '=', $id)->where('external_departments.department', 'like', ...) und setzt danach mehrere ->orWhere() ohne Klammerung fort (orWhere(name), orWhere(position), orWhere(phone) etc.). Wegen SQL-Präzedenz werden diese orWhere-Bedingungen als eigenständige OR-Klauseln ausgewertet, die den ID-Filter vollständig umgehen. Eine Suchanfrage gibt Abteilungen anderer Unternehmen zurück, die keine Beziehung zur übergebenen $id haben.","Alle orWhere-Bedingungen in einen ->where(function($q){...})-Block einschließen, damit der AND-Kontext für die ID-Bedingung erhalten bleibt.",hoch
73,kausalitaet,Vertrieb – Angebote,hoch,bestätigt,app/Http/Controllers/Customer/Offer/OfferController.php:1354-1386,Komplettes Löschen (delete_type=complete) löscht keine physischen Dateien auf Disk,"Bei destroy() mit delete_type='complete' werden offer_folder_attachments und offer_pdf_prints per DB-Delete entfernt (Zeilen 1370-1375), aber die zugehörigen Dateien im Storage werden nicht gelöscht. Dagegen löscht deleteAttachment() in OfferFolderController::deleteAttachment() die Datei korrekt via Storage::disk('public')->delete(). Das führt zu unbegrenztem Wachstum verwaister Dateien im Storage bei vollständigen Angebotslöschungen.","Vor dem DB-Delete in destroy(): $attachments = DB::table('offer_folder_attachments')->where('offer_id',...)->pluck('file_path'); foreach($attachments as $path) { Storage::disk('public')->delete($path); }. Analog für pdf_prints.",hoch
74,kausalitaet,Personal / HR,hoch,bestätigt,app/Http/Controllers/Employee/EmployeeController.php:653,EmployeeController::update() liest ID aus $_POST direkt statt Route Model Binding,"$id=$_POST['id']; (Zeile 653) — obwohl die Methode Employee $employee als Route-Model-Binding-Parameter deklariert, wird das empfangene Binding ignoriert und stattdessen $_POST['id'] direkt gelesen. Das umgeht sowohl Laravel-Validierung als auch implizites Binding und kann zu einer PHP-Notice führen, wenn 'id' im POST fehlt. Außerdem: Der Methodenname update() gibt 'The Employee has added successfully!' zurück statt einer Update-Meldung.",Zeile 653 durch $id = $employee->id; ersetzen und den Employee direkt nutzen ($employee->name = ...). Fehlermeldung korrigieren.,hoch
75,kausalitaet,Artikel,hoch,bestätigt,app/Http/Controllers/Product/ProductController.php:1067-1088,Wizard-Stage 1 (Produkteigenschaft) speichert keine Felder,"Wenn stage==='1' wird nur product->updated_by gesetzt und gespeichert – keine technischen Felder werden übernommen. Der Wizard-Schritt 'Produkteigenschaft' (product_technical.blade.php) enthält ein separates eigenes <form> mit eigenem Submit. Das Haupt-Wizard-Formular sendet für Stage 1 demnach leer auf den store()-Endpunkt, der nichts tut. Nutzer erhalten jedoch 'Technische Daten gespeichert.' – irreführendes Feedback.","Entweder die technischen Felder ebenfalls ins Haupt-Wizard-Payload aufnehmen und im Store-Handler verarbeiten, oder den Stage-1-Sub-Form-Submit als eigenständigen AJAX-Call auf einen separaten Endpunkt leiten und aus dem Wizard-Flow herausnehmen.",hoch
76,kausalitaet,Lager,hoch,bestätigt,"app/Http/Controllers/Inventory/AssetInstallmentController.php:94, 172",Fehlermeldung bei Store/Update-Fehler zeigt Erfolgsmeldung,"Im else-Zweig (Fehlerfall) von store() und update() wird 'Der Datensatz wurd erfulgreich gespeichert!' als delete_msg (roter Hinweis) zurückgegeben. Der Nutzer sieht eine rote Box mit der Aussage, die Aktion sei erfolgreich gewesen – eine direkte Falschinformation nach Fehlschlag.",Fehlermeldung korrigieren: z.B. 'Der Datensatz konnte nicht gespeichert werden.' und den Schlüssel save_msg durch delete_msg ersetzen (oder ein eigenes error_msg-Flash einführen).,hoch
77,kausalitaet,Lager,hoch,bestätigt,app/Http/Controllers/Inventory/AssetInstallmentController.php:109-112,SQL-Logikfehler in AssetInstallmentController::show() – type-Filter wird durch orWhere gebrochen,"Die Abfrage lautet: ->where('type','asset') ->where('assets.item', LIKE ?) ->orWhere('assets.id', LIKE ?). Das ungekapselte orWhere gilt auf Top-Level und erzeugt SQL: WHERE type='asset' AND item LIKE ? OR id LIKE ?. Bei einer Suche nach einer numerischen ID gibt die Abfrage alle asset_installments zurück, bei denen id der Suche entspricht – unabhängig vom type-Filter. Maschinen-Ratenzahlungen können so in der Asset-Liste erscheinen.","Suchbedingungen in eine Closure kapseln: ->where(function($q) use ($search) { $q->where('assets.item','LIKE',""%$search%"")->orWhere('assets.id','LIKE',""%$search%""); })",hoch
78,kausalitaet,Finanzen,hoch,bestätigt,"app/Http/Controllers/Customer/BegFundingsController.php:19,66",BEG-Förderungen: create()- und edit()-Views existieren nicht (ViewNotFoundException),"create() gibt view('beg_fundings.create') zurück, edit() gibt view('beg_fundings.edit') zurück. Diese Pfade existieren nicht. Die vorhandenen Views liegen unter admin.customer_economic_calculation.beg_fundings.{create,edit}. Aufruf von /beg-fundings/create und /beg-fundings/{id}/edit wirft eine ViewNotFoundException.",Korrekten Pfad: return view('admin.customer_economic_calculation.beg_fundings.create') und ...edit verwenden.,hoch
79,kausalitaet,Admin & System,hoch,bestätigt,app/Http/Controllers/Phase/TaskPhaseController.php:453,TaskPhaseController::clone() referenziert undefinierte Klasse TaskSubTasks (statt TaskSubTask),"Zeile 9 importiert App\Models\TaskSubTask (korrekte Klasse), aber Zeile 453 ruft TaskSubTasks::create([...]) auf. TaskSubTasks existiert nicht; bei Ausführung des Clone-Pfads (Kopieren von Sub-Tasks) tritt ein fataler Error (Class 'TaskSubTasks' not found) auf. Der gesamte Clone-Feature-Zweig ist kaputt.",TaskSubTasks::create([...]) auf TaskSubTask::create([...]) korrigieren.,hoch
80,kausalitaet,Admin & System,hoch,bestätigt,app/Http/Controllers/Phase/TaskPhaseController.php:352-364,TaskPhaseController::storeNewPhase() erstellt unbeabsichtigt einen ProjectMontageChecklist-Datensatz,"storeNewPhase() erzeugt nach dem Speichern der Phase immer einen neuen ProjectMontageChecklist mit Hardcode-Werten (plan_montage=1, list_name='New Draft' usw.). Diese Funktion heißt ""Phase erstellen"", nicht ""Checkliste erstellen"". Der Seiteneffekt ist weder dokumentiert noch für den Aufrufer erkennbar; er erzeugt Daten-Müll bei jedem Phase-Anlegen über diese Route.","Den Checklist-Erstellungsblock entfernen oder in eine separate, explizit aufgerufene Methode auslagern.",hoch
81,kausalitaet,Planner,hoch,bestätigt,app/Http/Controllers/Planner/PlannerPlanController.php:286-294,N einzelne INSERTs statt Batch-Insert in syncPlannerItemEmployees,"syncPlannerItemEmployees() löscht erst alle Einträge für ein PlannerItem und schreibt dann jeden Employee-Eintrag einzeln via DB::table('planner_item_employees')->insert([...]). Diese Methode wird für jedes syncierte PlannerItem (Termin, Ticket, Aufgabe) aufgerufen; bei 20 PlannerItems mit je 3 Mitarbeitern = 60 einzelne INSERT-Statements.",Rows als Array aufbauen und mit einem einzigen DB::table('planner_item_employees')->insert($rows) schreiben.,hoch
82,kausalitaet,Reporting,hoch,bestätigt,app/Http/Controllers/Report/OverdueCenterController.php:1050-1060,N firstOrCreate-Aufrufe beim Speichern eines Overdue-Reports (ein Eintrag pro aktivem Mitarbeiter),"Nach dem Speichern eines OverdueReport wird für jeden aktiven Mitarbeiter (Employee::pluck('id')) ein OverdueReportRead::firstOrCreate() aufgerufen. Bei 30 aktiven Mitarbeitern entstehen 30 SELECT+INSERT-Paare. Da kein Batch-Mechanismus verwendet wird, erhöht sich die Latenz des Speicher-Requests proportional zur Mitarbeiterzahl.",Zeilen-Array aufbauen und DB::table('overdue_report_reads')->insertOrIgnore($rows) verwenden.,hoch
83,kausalitaet,Planner,hoch,bestätigt,"app/Http/Controllers/Planner/PlannerPlanController.php:182,247,470,562,612 (145 Stellen)",145 Schema::hasTable/hasColumn-Aufrufe ohne Request-Caching in PlannerPlanController,"PlannerPlanController enthält 145 Schema::hasTable()- und Schema::hasColumn()-Aufrufe. Im Gegensatz zu OverdueCenterController (welcher einen statischen $schemaCache einsetzt) fehlt hier jegliches Caching. Jeder Schema-Check löst eine INFORMATION_SCHEMA-Abfrage aus (oder wird von Laravels internem SchemaBuilder gecacht, aber nur pro Request-Instanz). Bei syncAndLoad wird ein erheblicher Teil davon redundant mehrfach aufgerufen.",Dasselbe statische Caching-Pattern wie in OverdueCenterController (Zeile 50-53) implementieren: private static array $schemaCache = [] mit hasTable()/hasColumn()-Wrapper-Methoden.,mittel
84,konsistenz,CRM – Leads & Kunden,hoch,bestätigt,"app/Http/Controllers/Customer/NewLeadsController.php:3440,4552,4859,973,1979",auth()->user()->name wird als Employee-ID misbraucht – semantisch falsch und fragil,"Die App speichert offenbar die Employee-ID im User.name-Feld. Dies wird an über 20 Stellen mit auth()->user()->name als Integer-Employee-ID verwendet (z.B. L3440: $empId = (int) auth()->user()->name, L973: 'employee_id' => auth()->user()->name). Gleichzeitig wird an anderen Stellen $currentName = auth()->user()->name als Namens-String zum Vergleich mit employees.name genutzt (L4575: where('contact_person.name', $currentName), L4589: where('lp_inner.name', $currentName)). Das führt zu falschen Filterergebnissen wenn Employee-ID ≠ Employee-Name (was immer der Fall sein sollte). Der junked_by/deleted_by-Join (L11392, L11612) joiniert ->employees ON employees.id = junked_by, aber gespeichert wird auth()->user()->name (Namens-String), nicht die ID.","Entweder eigene employees.user_id-Spalte einführen und Auth-User dediziert mit Employee verknüpfen, oder auth()->user()->employee_id-Relation anlegen. Dann alle auth()->user()->name-Stellen auf auth()->user()->employee->id bzw. auth()->user()->employee->name auflösen.",hoch
85,konsistenz,Projekte & Planer,hoch,bestätigt,resources/views/admin/todo/personal/task_details.blade.php:265,PersonalTask-Status-Werte inkonsistent zwischen View und Controller,"Die View `task_details.blade.php` mappt und bietet Status-Werte an, die im Controller nicht existieren: `'new'`, `'start'`, `'on_going'`, `'on_review'` (Z. 265–306). Der Controller `PersonalTaskController` verwendet `'open'`, `'on_progress'`, `'completed'`, `'pause'`, `'cancel'` (Z. 111, 125, 131, 137). `PersonalTaskBoardController` kennt zusätzlich noch `'working'`, `'in_progress'`, `'junk'`, `'rejected'`. Das Ergebnis: Der Status-Label zeigt für reale Datensätze immer 'Status unbekannt'.","Einen einzigen kanonischen Status-Enum/Constant definieren und in Controller, Validation, Seeder und Views einheitlich verwenden. Alle Aliase (`new`→`open`, `on_going`→`on_progress`) in einer Migration bereinigen.",hoch
86,konsistenz,Artikel,hoch,bestätigt,"database/migrations/2023_06_22_085602_create_products_table.php:33 vs app/Http/Controllers/Product/ProductController.php:740,760,1038","Status-Werte inkonsistent: DB-Default 'active', Code nutzt 'Published'/'Unpublished'","Das Migration-Default für status ist 'active'. Im Controller und in allen Filter-/Status-Abfragen werden ausschließlich 'Published' und 'Unpublished' genutzt. Produkte, die vor der Codeänderung angelegt oder per Seed/Import mit status='active' erstellt wurden, erscheinen in keinem der Filter und gelten weder als aktiv noch inaktiv.","Migration mit DB::statement(""UPDATE products SET status='Published' WHERE status='active'"") korrigieren und den DB-Default auf 'Published' setzen, oder einen Accessor im Model anlegen der 'active' auf 'Published' mappt.",hoch
87,konsistenz,Querschnitt,hoch,bestätigt,app/Http/Controllers/ (app-weit),Inkonsistente Flash-Message-Keys: 7 verschiedene Schlüsselnamen nebeneinander,"Es existieren gleichzeitig: 'save_msg' (213x), 'delete_msg' (172x), 'success' (62x), 'error' (45x), 'update_msg' (19x), 'error_msg' (16x), 'updated_msg' (6x), 'not_save' (8x), 'not_msg' (6x), 'ok' (2x in Views). Jede View muss individuell entscheiden, welche Schlüssel sie abfragt. Es gibt keine zentrale Flash-Komponente im Layout.","Standard-Konvention festlegen (z. B. 'success', 'error', 'warning', 'info') und alle Flash-Setzungen und View-Abfragen migrieren. Eine zentrale Blade-Komponente oder Layout-Block für Flash-Rendering einführen.",hoch
88,konsistenz,Querschnitt,hoch,bestätigt,"app/Http/Controllers/PlaningController.php:193, app/Http/Controllers/PlaningController.php:222, app/Http/Controllers/ToolsController.php:110–117, app/Http/Controllers/HandoverController.php:144",'delete_msg' für Error-Szenarien missbraucht – semantisch falsch,"'delete_msg' wird in 51 Fällen für Fehlermeldungen verwendet (z. B. 'Ungültiger Projektstatus.', 'Ein Fehler ist aufgetreten.', 'Failed to retrieve weather data'). Views rendern delete_msg vielfach als toast('bad') oder toastr.error(), was zufällig passt, aber semantisch falsch ist und zu falschen Titeln ('Gelöscht') führt.",Fehlermeldungen konsequent mit 'error' setzen. 'delete_msg' nur für erfolgreiche Löschvorgänge verwenden.,hoch
89,konsistenz,Querschnitt,hoch,bestätigt,"resources/views/admin/product/brand/brand.blade.php:1072–1080, resources/views/admin/supplier-connectors/index.blade.php:389–395, resources/views/admin/configurations/radiator/radiator_view.blade.php:127","3 parallele Notification-Systeme: toastr.*, custom toast(), HTML-Divs","976 toastr.*-Aufrufe (global), 588 custom toast()-Aufrufe und 116 Blade-Dateien mit HTML-Alert-Divs (alert-success / sc-toast) existieren parallel. Jedes System hat eigene Styling- und Positionierungsregeln, was inkonsistentes UX-Feedback erzeugt.","Ein einziges Notification-System wählen. Bevorzugt toastr (bereits global geladen) oder die custom toast()-Funktion, falls diese zentral definiert ist. Alle HTML-Div-Varianten und das jeweils andere JS-System migrieren.",hoch
90,konsistenz,Querschnitt,hoch,bestätigt,"resources/views/admin/invoice/invoice_create.blade.php:264, resources/views/admin/invoice/invoice_draft_view.blade.php:224, resources/views/admin/invoice/invoice_approved.blade.php:203, resources/views/admin/offer/set/paragraph/set_paragraph.blade.php:364, resources/views/admin/product/delivery/pdf.blade.php:289",toastr.danger() ist keine gültige Toastr-Methode – Notifications erscheinen nicht,"toastr hat keine .danger()-Methode. Die gültigen Methoden sind: .success(), .error(), .info(), .warning(). An 8 Stellen (in Produktionsviews) wird toastr.danger() aufgerufen, der Aufruf schlägt lautlos fehl – die Fehlermeldung wird nie angezeigt.",toastr.danger() durch toastr.error() ersetzen an allen betroffenen Stellen.,hoch
91,konsistenz,Querschnitt,hoch,bestätigt,"resources/views/admin/appointments/index.blade.php, resources/views/admin/customer/customer_details.blade.php, resources/views/admin/checklist/profitablity_calculation/profit.blade.php (Beispiele)",DE/EN-Mischung in UI-Texten: 136 Blade-Dateien mischen Sprachen im selben Kontext,"Analyse ergibt 1180 DE-Label-Treffer ('Speichern', 'Löschen' usw.) vs. 1209 EN-Label-Treffer ('Save', 'Delete', 'Create' usw.) in 136 gemeinsamen Dateien. Flash-Meldungen sind ebenfalls gemischt: 339 DE vs. 78 EN Meldungen, teils im selben Controller (BranchRentInfoController: 'The data is deleted successfully', KnowledgeQuestionController: 'The question is saved successfully').",Sprach-Policy festlegen (die App ist erkennbar Deutsch). Alle EN-UI-Texte in DE übersetzen oder Laravel-Localization (lang/de.json) konsequent einsetzen.,hoch
92,konsistenz,Querschnitt,hoch,bestätigt,"routes/web.php (z. B. Zeile /branch_create vs. /supplier-connectors, /admin/fusion-forms/entries/{form_id} vs. /branch_expense/{branchExpense}/other-costs)","Route-URL-Konvention gemischt: 648 snake_case- vs. 712 kebab-case-URLs, teils im gleichen Pfad","Innerhalb desselben Projekts existieren snake_case-Pfade (/branch_create, /employee_dashboard) und kebab-case-Pfade (/system-warning, /supplier-connectors) nebeneinander. Darüber hinaus gibt es 20+ URLs, die beide Stile in einem einzigen Pfadsegment mischen (z. B. /admin/fusion-forms/entries/{form_id}, /branch_expense/{branchExpense}/other-costs).",Kebab-case als Standard für Routen-URLs gemäß Laravel-Konvention festlegen. Ältere snake_case-Routen schrittweise migrieren (301-Redirect bei öffentlichen URLs).,hoch
93,plausibilitaet,Dashboard & Berichte,hoch,bestätigt,app/Http/Controllers/EmployeeDashboardController.php:735,Hardcodierter Tomorrow.io API-Key im Quellcode,$apiKey = '810lNaHm47aq72XReqTSkAtQRi1P9jQh' ist direkt im Controller hartcodiert (Kommentar: 'Replace with your actual API key' – das wurde nie gemacht). Der Key ist im Git-Repository sichtbar und kann zu unberechtigter API-Nutzung führen.,API-Key in .env als TOMORROW_IO_API_KEY auslagern und per config('services.tomorrow_io.key') einbinden. Key sofort in Tomorrow.io rotieren.,hoch
94,plausibilitaet,CRM – Anfragen,hoch,bestätigt,"app/Http/Controllers/Wordpress/FusionFormSubmissionController.php:39,74,99,132,168,366,455",Hardcodierter API-Token und hardcodierte branch_id=1 in Produktionscode,Der externe API-Token (3Ho7JAeHMxL8kkjRDx83fhwq) ist an fuenf Stellen direkt in den Quellcode eingebettet. Token-Rotation erfordert ein Code-Deployment. Ausserdem ist branch_id = 1 in importSingle() (Zeile 366) und importAll() (Zeile 455) hartcodiert: bei Multi-Branch-Betrieb werden alle Webseiten-Anfragen pauschal der ersten Niederlassung zugewiesen.,Token in .env / config/services.php auslagern (analog zu config('services.fusion_forms.token') wie bereits partiell vorhanden). Fuer branch_id: die Niederlassung aus dem Formularinhalt bestimmen oder als konfigurierbaren Wert in config/ ablegen.,hoch
95,plausibilitaet,Vertrieb – Angebote,hoch,bestätigt,app/Http/Controllers/Customer/Offer/OfferController.php:61-62 und OfferFolderController.php:641-642 und OfferCommentController.php:30,users.name wird als employee_id missbraucht – fragile Identitätsauflösung im gesamten Modul,"Die employee_id wird in mindestens 5 Methoden (employeeId(), currentEmployeeId(), createOffer(), clone(), OfferCommentController::store()) aus auth()->user()->name ausgelesen (is_numeric($user->name)), da users.name den Mitarbeiter-PK speichert. Das ist semantisch falsch, fehleranfällig (echter Name überschreibt die ID), nicht selbstdokumentierend und führt zu falschen Zuordnungen, wenn ein User angelegt wird, dessen name zufällig numerisch ist.",Eine dedizierte Spalte users.employee_id (FK zu employees.id) einführen und konsequent nutzen. Übergangslösung: users.employee_id-Kolumne prüfen (existiert lt. Code schon: $user->employee_id) und als alleinige Quelle verwenden.,hoch
96,plausibilitaet,Personal / HR,hoch,bestätigt,app/Http/Controllers/Employee/Position/QualificationController.php:42-44,Qualifikations-Store übergibt unkontrollierte Rohdaten aus $request->qual direkt an Qualification::create(),"foreach ($request->qual as $qualification) { Qualification::create($qualification); } — $qualification ist ein nicht-gefiltertes Unter-Array aus dem Request. Das emp_id-Feld (wird in die Tabelle gespeichert) ist nicht in den Validierungsregeln enthalten und nicht als 'exists:employees,id' geprüft. Ein Angreifer kann beliebige emp_id-Werte übermitteln, um Qualifikationen einem fremden Mitarbeiterprofil zuzuordnen.","Validierung um 'qual.*.emp_id' => 'required|integer|exists:employees,id' erweitern. Im Schleifenbody explizit nur validierte Felder übergeben: Qualification::create(['emp_id'=>$qualification['emp_id'], 'degree'=>...]).",hoch
97,plausibilitaet,Personal / HR,hoch,bestätigt,"app/Http/Controllers/Employee/EmployeeController.php:339,624,660,1339",Mitarbeiterbild-Upload ohne MIME-Typ-Validierung (Dateiendung aus Originalnamen),"An vier Stellen wird das hochgeladene Bild nur mit getClientOriginalExtension() benannt, ohne any MIME-Typ- oder Bildvalidierung. Eine Datei mit Namen 'shell.php' umbenannt in 'shell.jpg' könnte mit Endung 'jpg' hochgeladen und unter /images/employee/ abgelegt werden. Zusätzlich wird an Zeilen 625/661 in das nicht-public_path-Verzeichnis 'images/employee/' (relativ zum Working Directory) geschrieben, nicht public_path().","Validierung hinzufügen: 'image' => 'required|image|mimes:jpg,jpeg,png,webp|max:2048'. Alle move()-Aufrufe auf public_path('images/employee/') vereinheitlichen.",hoch
98,plausibilitaet,Artikel,hoch,nicht bestätigt,app/Http/Controllers/Product/ProductController.php:42-44,currentEmployeeId() liest Auth::user()->name als numerische Mitarbeiter-ID,"Die Methode liest Auth::user()?->name und castet es zu int. Das name-Attribut des User-Models enthält typischerweise einen Klarnamen (z. B. 'Max Mustermann'), nicht eine Employee-ID. Ist der Name nicht numerisch, gibt die Methode null zurück – created_by und updated_by in product_histories bleiben dann NULL für jeden Eintrag mit nicht-numerischem Nutzernamen.","Eine dedizierte employee_id-Spalte auf dem User-Model anlegen oder die Relation User→Employee auflösen (z. B. Auth::user()->employee?->id), um die tatsächliche Mitarbeiter-ID zuverlässig zu ermitteln.",hoch
99,plausibilitaet,Admin & System,hoch,bestätigt,app/Http/Controllers/Branch/BranchController.php:303-317,Mass-Assignment ohne Validierung in BranchController::offerUpdate(),"$data = $request->except(['logo_file']); branch->update($data); – Alle Request-Parameter außer logo_file werden ungefiltert an das Model übergeben. Obwohl Branch::$fillable gesetzt ist, können trotzdem beliebige fillable Felder (iban, tax, vat, status usw.) durch einen API-Aufruf überschrieben werden. Es findet keine Validierung statt (kein Ruleset, kein FormRequest). Das steht im starken Kontrast zur vollständigen Validierung in store() und update().",Gleichen $this->rules()-Satz wie in store()/update() auch für offerUpdate() verwenden; mindestens $request->validate([...]) vor branch->update($validated) aufrufen.,hoch
100,redundanz,Dashboard & Berichte,hoch,bestätigt,app/Http/Controllers/EmployeeDashboardController.php:60-367,index()- und mobile()-Methode in EmployeeDashboardController sind nahezu identisch (~300 Zeilen Duplikat),"index() (Zeile 60) und mobile() (Zeile 235) enthalten exakt denselben Datenaufbereitungscode für Tasks, Appointments, DepartmentPositions, Leaves, SickDays und TimeManagement. Beide geben dieselbe View zurück (admin.dashboard.employee.mobile). Jede Änderung muss doppelt gepflegt werden; aktuell unterscheidet sich mobile() nur durch fehlende activeDepartments, myCustomerCount, myProjectCount.","Gemeinsame Logik in private Hilfsmethode prepareEmployeeDashboardData() extrahieren. index() ergänzt das Ergebnis um Admin-Felder, mobile() nicht. Beide rufen dann dieselbe Hilfsmethode auf.",hoch
101,redundanz,CRM – Anfragen,hoch,bestätigt,app/Http/Controllers/Inquiry/InquiryController.php:2638 / app/Http/Controllers/Inquiry/InquiryVerificationController.php:317,Identische lead()- und verify-Logik dupliziert in InquiryController und InquiryVerificationController,"Die Lead-Erstellungslogik (lead(), distributor(), brand(), createBrandDepartment(), createDistributorDepartment(), updateVerification()) ist in beiden Controllern fast wortgleich implementiert. Ebenso sind importSingle() und importAll() in FusionFormSubmissionController.php eine 1:1-Kopie desselben URL-basierten Note-Aufbaus (ca. 50 Zeilen).","Gemeinsame Logik in einen InquiryConversionService extrahieren. Beide Controller nutzen dann denselben Service. Fuer FusionFormSubmission: eine private buildNoteFromEntries()-Methode, die von beiden Methoden gerufen wird.",hoch
102,redundanz,Projekte & Planer,hoch,nicht bestätigt,routes/web.php:3633,Doppelt registrierter Routenname 'personal.task.store' für zwei verschiedene Controller,"Der Routenname `personal.task.store` ist zweimal definiert: Z. 3633 für `PersonalTaskController@store` und Z. 3731 für `PersonalTaskBoardController@store`. Laravel verwendet immer die zuletzt definierte Route bei `route('personal.task.store')`. Welcher Controller tatsächlich aufgerufen wird, hängt von der Ladereihenfolge ab und kann zu schwer reproduzierbaren Fehlern führen.","Einen eindeutigen Namen vergeben, z. B. `personal-tasks.board.store` für den BoardController. Die alte `PersonalTaskController`-Route entweder entfernen oder ebenfalls umbenennen und alle Template-Referenzen anpassen.",hoch
103,redundanz,Querschnitt,hoch,bestätigt,resources/views/admin/roof_config/config.blade copy.php bis config.blade copy 7.php,8 Kopien von config.blade.php im roof_config-Modul,8 Versionen von config.blade copy.php bis config.blade copy 7.php liegen neben der aktiven config.blade.php. Ausserdem config2.blade copy.php. Insgesamt 9 tote Dateien in einem einzigen Verzeichnis - ein klares Zeichen fuer manuelle Versionierung statt Git-Branches.,"Alle copy-Varianten loeschen (config.blade copy*.php, config2.blade copy.php). Aktive Version ist config.blade.php und config2.blade.php.",hoch
104,redundanz,Dashboard,hoch,bestätigt,resources/views/admin/dashboard/old codes/,9 tote Dashboard-Blade-Kopien in old codes/-Ordner,"6 Kopien von dashboard.blade (copy, copy 2-5, copy new) plus 3 Kopien von mobile.blade (copy, copy 2, copy 3) in old codes/. Aktive Dateien: resources/views/admin/dashboard/employee/ und dashboard/test.blade.php. Zusaetzlich eine test.blade.php im Dashboard-Root, die nicht in routes/ referenziert wird.","Ordner resources/views/admin/dashboard/old codes/ vollstaendig loeschen. dashboard/test.blade.php pruefen und falls nicht produktiv verwendet, ebenfalls entfernen.",hoch
105,redundanz,Chat,hoch,bestätigt,"resources/js/chat copy.js (1962 Zeilen), resources/js/chat copy 2.js (4687 Zeilen), resources/js/chat v2.js (738 Zeilen)",3 tote chat.js-Varianten in resources/js/ neben der aktiven Datei,"Neben der aktiven resources/js/chat.js (5685 Zeilen, in vite.config.js registriert und per @vite geladen) liegen drei Backup-Versionen. 'chat v2.js' wird in keiner View per @vite oder asset() geladen. Weder 'chat copy.js' noch 'chat copy 2.js' sind in vite.config.js registriert.","Die drei Dateien chat copy.js, chat copy 2.js und chat v2.js aus resources/js/ entfernen. Die aktive chat.js bleibt unveraendert.",hoch
106,redundanz,Layouts,hoch,bestätigt,"resources/views/admin/layouts/OLD CODE/ (app.blade copy.php, copy 2, copy 3, copy mar 2025.php, app.blade last 25.php), resources/views/admin/layouts/app.blade copy.php, app.blade copy 2.php",7 Kopien des Haupt-Layouts app.blade.php in OLD CODE/ plus 2 direkte Kopien im layouts/-Root,"Das kritische Hauptlayout wird in 7 Kopien im Old-Code-Ordner und 2 direkt neben der aktiven app.blade.php gespeichert. Zusaetzlich liegen test.blade.php und test2.blade.php im layouts/-Root, die keine Route referenziert. Der OLD CODE/-Ordner enthaelt auch 5 Kopien von test.blade.php.","Old CODE/-Ordner loeschen. app.blade copy.php und app.blade copy 2.php im layouts/-Root entfernen. test.blade.php und test2.blade.php im layouts/-Root loeschen, falls keine Route sie rendert.",hoch
107,redundanz,Checklist/Profit,hoch,bestätigt,resources/views/admin/checklist/profitablity_calculation/Old Code/ (26 Dateien),6 Kopien von profit.blade.php und weitere Old-Code-Dateien in profitablity_calculation/,"Groesste Old-Code-Ansammlung im Projekt: 26 Dateien, darunter profit.blade copy.php bis profit.blade copy 5.php, bonus.blade copy.php und weitere. Die aktiven Dateien profit.blade.php und bonus.blade.php liegen im Elternordner. 26 tote Dateien in einem einzigen Unterordner.",Den gesamten Unterordner Old Code/ mit allen 26 Dateien loeschen.,hoch
108,redundanz,NewLeads,hoch,bestätigt,app/Http/Controllers/Customer/NewLeadsController.php:107-165,Employee-Datenladen wird zweimal ausgeführt - zweites Ergebnis überschreibt das erste (Dead Code),"In new_object() werden ab Zeile 107 alle Mitarbeiter geholt, mit Urlaub- und Vertretungs-Tabellen verknüpft ($availableEmployees) und das Ergebnis in $data['employees'] gesetzt (Zeile 162). Zeile 165 überschreibt sofort mit einem einfachen Employee::select()->get() ohne die Leave-Logik. Der gesamte Code von Zeile 107-162 ist damit toter Code: zwei unnötige DB-Abfragen (leaves, job_representatives) und eine Collection-Operation werden immer für nichts ausgeführt.",Die Zeilen 107-162 entfernen. Die zweite Zuweisung in Zeile 165 ist der effektive Pfad und sollte (ggf. mit Leave-Logik) übernommen werden.,hoch
